Steps,Distance,Minutes of sedentary activity,Minutes of light activity,Minutes of Moderate activity,Minutes of  Intense activty
905,65,1355,46,0,0
18925,1411,611,316,61,60
14228,1057,602,226,14,77
6756,502,749,190,23,4
502,373,876,171,0,0
779,579,726,172,34,18
5614,417,782,216,13,1
8169,607,801,218,8,7
19971,1484,532,247,101,118
852,633,606,186,46,73
11998,891,936,189,18,51
12425,923,827,186,18,54
6008,446,783,214,15,2
16291,121,616,237,48,52
6111,454,820,190,14,5
17928,1332,533,262,79,132
13893,1032,641,222,33,140
5109,38,861,200,0,0
443,329,1269,156,0,0
7498,557,692,196,64,50
849,631,771,212,8,13
565,42,789,208,0,0
21479,1598,503,230,55,153
18995,1411,660,269,86,43
16836,1251,586,248,35,70
15944,1185,640,214,15,93
14273,106,721,178,16,89
1606,1193,724,239,38,70
13594,101,677,215,36,52
1548,115,520,246,78,42
1944,1448,966,210,28,130
13926,1035,701,265,63,29
11338,842,806,228,43,31
714,531,785,220,20,4
15449,1148,676,205,39,64
1192,886,593,352,34,11
26444,1965,549,429,56,56
12335,916,1245,88,10,93
14137,105,642,305,8,51
11568,866,734,189,17,54
16813,1252,709,202,2,110
15217,1131,641,280,44,59
13158,978,715,171,30,66
19311,1435,519,291,55,93
16186,1203,637,229,52,75
12713,948,631,225,24,44
9132,679,777,223,32,15
20239,1504,621,292,37,95
11199,832,737,227,36,20
20269,1506,720,218,54,99
11655,866,670,220,28,53
12314,915,601,290,25,51
12586,935,735,234,35,49
12445,925,635,200,18,58
14193,1055,669,210,47,70
1156,862,708,158,25,67
15695,1166,648,248,63,54
9747,724,646,253,22,19
15731,1169,567,317,52,55
8391,623,877,136,36,30
8326,619,1118,217,10,3
14241,1058,700,234,22,59
7298,542,836,290,10,1
10644,791,683,283,36,17
12371,919,639,194,46,60
758,563,607,258,16,0
12168,904,731,212,52,60
15135,1128,740,167,47,87
14996,1114,573,321,50,54
8704,647,697,225,31,29
12739,947,761,247,47,47
13247,984,484,317,31,47
1166,866,680,286,5,53
13702,1018,708,246,48,43
1124,835,732,208,52,24
13262,985,1093,166,33,70
909,675,719,234,23,23
15779,1172,618,346,48,21
6174,459,677,231,13,4
11614,863,503,301,2,40
1346,10,822,190,29,64
10,743,803,230,44,11
1068,794,634,322,21,4
14105,1048,718,225,60,44
9194,683,784,198,7,0
17497,1302,1092,219,54,45
5765,428,544,245,6,6
15362,1141,683,226,65,54
987,733,793,186,28,32
14502,1078,520,250,41,59
14652,1089,562,350,42,20
7628,567,638,283,11,8
13877,1031,609,206,57,51
11433,849,561,236,40,35
13655,1015,985,285,8,23
13535,1008,1348,44,4,14
1883,14,1370,70,0,0
11354,844,694,366,4,10
11532,857,572,301,26,10
6129,455,635,256,8,1
6238,464,688,267,0,0
15572,1157,515,472,33,14
10886,809,639,292,27,20
12213,907,421,381,13,8
12929,961,565,425,25,18
16365,1216,461,329,45,16
17252,1282,481,382,19,42
14537,108,518,345,19,47
13404,996,685,192,38,71
1094,813,697,199,52,50
10032,745,757,175,45,45
14008,1041,544,334,18,35
12149,903,1051,369,9,11
19977,1484,648,395,23,74
11924,891,1421,0,0,0
10757,799,1187,145,43,65
12229,911,689,421,17,16
1033,768,770,248,16,15
11689,869,1043,182,50,51
15627,1161,606,284,50,55
10681,794,656,240,15,30
7907,588,654,287,0,0
9487,705,1156,152,40,28
8253,613,1137,91,16,29
22238,1652,355,407,87,85
1065,791,940,198,38,42
12038,894,700,201,44,57
1148,853,462,315,8,13
9199,684,600,361,15,8
9564,711,1118,168,43,46
9019,67,755,144,72,25
10239,761,675,192,35,46
7739,575,741,211,17,10
1262,938,773,170,59,39
14226,1057,669,291,35,41
3858,287,1255,185,0,0
17603,1308,1053,223,56,67
10699,795,655,252,32,21
7261,539,908,135,14,18
10608,788,1107,177,63,52
12271,912,548,323,34,24
9998,745,782,327,0,0
5757,428,800,270,0,0
8995,668,826,171,45,33
7553,561,789,163,54,15
6494,483,711,208,26,5
7951,591,667,191,40,9
7424,552,801,179,43,25
6813,506,1315,75,41,9
3991,297,1136,163,0,0
9725,723,988,268,24,14
8936,664,780,205,46,27
6565,488,841,157,27,20
7865,584,1118,204,32,13
8718,648,976,65,0,0
12364,922,1046,234,29,32
5216,388,1243,175,17,5
658,489,1246,104,57,33
7015,521,1244,130,37,29
8103,602,1219,215,4,2
6962,517,1234,115,57,28
16478,123,643,304,8,43
11603,862,732,236,38,22
11429,849,962,269,8,17
6293,468,854,226,0,0
7269,54,129,105,22,23
4471,332,1134,165,0,0
17913,1331,1053,210,39,75
5431,404,678,166,9,13
11672,867,663,222,48,29
14777,1098,597,302,57,39
9171,681,767,273,30,7
8807,654,810,224,29,12
5623,418,779,170,19,3
1291,959,1091,258,24,20
8805,654,821,170,51,29
7107,528,510,277,0,0
3862,287,889,166,0,0
7368,547,1279,126,22,13
6269,466,143,10,0,0
852,633,662,191,43,24
8116,603,827,228,37,8
8268,614,776,145,75,22
14489,1077,525,280,52,68
9212,684,508,198,27,53
95,706,756,218,28,13
11151,829,705,198,40,79
12351,918,981,181,66,24
1067,793,684,162,17,61
5574,414,1209,156,8,16
11587,861,608,159,41,103
9499,706,738,167,28,44
13788,1053,978,282,31,61
18361,1372,543,366,73,42
14055,1044,673,268,53,27
11927,886,726,305,21,37
15221,1131,464,316,40,58
8568,642,1174,249,3,14
3284,244,1269,98,3,8
9408,699,682,295,31,14
10261,762,1182,210,2,46
8218,611,1142,155,50,22
976,725,113,214,61,30
10769,8,725,222,60,42
11671,87,643,375,7,15
14444,1073,618,258,39,51
23313,1732,550,389,67,75
1681,1249,750,152,9,97
10745,801,634,174,48,62
10784,804,774,201,25,68
1074,808,11,146,39,52
8531,636,723,325,0,0
12738,946,811,244,45,35
1352,1007,672,261,13,50
15884,1183,962,248,25,123
10026,745,803,204,29,38
11868,884,119,170,26,54
12381,922,1096,212,30,52
7157,532,605,290,0,0
7055,524,690,248,19,6
9348,699,827,179,22,42
8566,639,898,137,28,33
9786,727,1118,159,29,28
8371,622,1069,146,31,24
9428,701,1141,220,43,21
13742,1021,579,357,15,22
15636,1173,550,316,56,23
12778,949,664,313,42,6
7378,548,838,176,33,12
0,0,144,0,0,0
6452,479,1217,223,0,0
7837,582,663,332,0,0
6504,483,588,282,0,0
6444,484,746,252,0,0
7845,583,686,337,0,0
1226,911,636,375,3,26
12154,905,617,276,6,45
7801,58,577,362,0,0
1046,792,685,375,0,0
13837,1033,601,339,15,36
12517,93,1034,272,9,49
10366,77,650,235,53,30
12127,913,682,284,47,28
11327,842,613,314,5,32
11098,825,720,247,53,30
12395,923,567,405,7,8
6643,494,676,283,0,0
8846,657,1167,183,36,29
9642,716,758,247,44,24
9982,742,839,222,30,26
6613,491,857,205,13,3
12161,921,719,198,34,60
14837,1137,687,210,58,71
16759,1259,589,333,23,59
9602,726,547,279,4,15
3761,279,998,99,5,3
7456,56,1215,103,22,35
16755,1278,551,331,24,51
11937,896,699,254,57,32
14577,1096,519,391,34,22
17541,1312,570,358,50,45
39,3,1076,5,0,0
661,491,127,93,24,26
13073,971,790,166,52,61
9997,746,759,164,52,28
10707,796,753,262,57,18
9952,739,760,233,30,26
9774,726,519,357,16,2
626,465,671,298,0,0
11426,852,911,192,48,43
10466,778,802,152,48,48
12866,963,767,271,45,28
2449,187,821,80,0,0
10434,775,718,243,42,29
10434,775,718,243,42,29
12578,94,563,388,10,11
15373,117,599,273,10,62
12327,924,699,278,28,30
10457,782,847,181,15,41
99,743,1237,156,6,41
8966,666,802,235,21,20
8353,621,732,219,17,26
13907,1036,551,357,15,15
14183,1054,617,374,45,12
8453,628,1304,124,8,4
7995,598,802,231,34,16
6707,498,913,174,36,19
8109,61,1212,143,42,33
11971,923,865,179,3,51
11371,845,457,327,14,19
219,163,954,93,0,0
6592,493,1234,155,23,14
8624,641,739,193,36,25
8307,617,762,195,25,37
7941,59,878,142,47,32
805,598,1203,177,40,20
9923,737,1124,184,25,44
9504,715,687,283,10,1
6847,509,731,206,20,1
11618,866,776,217,59,29
1045,776,765,199,35,26
11478,869,749,167,5,45
1065,797,754,227,31,30
3103,231,1042,155,0,0
696,52,1105,280,0,0
16699,134,791,158,9,97
14068,1126,824,167,8,65
18092,1405,112,243,8,69
1853,1471,793,162,21,100
14587,1086,1013,313,14,38
9992,745,685,339,0,13
0,0,144,0,0,0
9336,74,1288,73,4,50
15596,1261,782,187,3,77
25385,2045,638,254,17,124
14577,1146,823,162,10,81
16667,1308,832,173,9,90
13361,993,530,418,38,50
6754,502,564,315,0,0
5424,403,1047,193,7,2
17913,1341,593,382,22,55
14324,1089,669,222,10,59
8049,603,109,123,3,24
11122,829,599,386,9,0
957,711,879,395,0,0
4667,347,889,114,20,2
4667,347,889,114,20,2
9781,734,123,139,6,39
21383,1669,641,384,23,57
20109,1518,629,302,35,63
1113,861,900,162,3,54
825,613,950,314,7,1
8682,645,669,355,0,0
17535,1366,881,168,8,102
20154,1505,445,471,28,45
23286,1784,561,451,28,67
13004,987,856,214,3,58
13441,1004,449,439,0,0
10216,759,535,390,0,0
5634,419,921,92,41,4
17422,1338,674,290,14,61
14475,1092,664,291,10,47
17777,1366,696,276,10,80
19087,1465,711,221,12,96
1629,122,467,427,25,11
14252,1064,675,323,60,18
8262,614,1089,302,0,0
1945,1506,860,190,6,98
17232,1361,1002,262,4,88
16946,1293,762,238,5,67
19183,1467,723,218,7,97
12963,966,404,436,14,10
6456,48,782,305,0,0
10413,773,700,269,28,24
10499,78,661,430,9,4
17226,1297,751,185,16,95
19784,1551,694,151,26,128
25571,193,606,293,42,129
17528,1336,594,239,8,82
9831,73,561,414,0,0
14262,106,666,361,21,41
13236,998,770,234,8,38
18588,1413,599,275,49,79
16382,1239,684,333,10,55
21913,164,701,287,29,90
19023,1479,575,298,8,85
9526,708,564,370,13,10
